letter;count
A;35
B;40
C;86
D;14
E;22
F;36
G;33
H;40
I;15
J;14
K;34
L;25
M;143
N;25
O;13
P;38
Q;5
R;41
S;119
T;48
U;10
V;23
W;41
X;0
Y;2
Z;4
