letter;count
A;5
B;1
C;9
D;3
E;1
F;4
G;3
H;5
I;0
J;2
K;1
L;4
M;2
N;4
O;16
P;3
Q;0
R;7
S;6
T;4
U;0
V;1
W;10
X;0
Y;3
Z;0
