letter;count
A;448
B;863
C;721
D;378
E;220
F;245
G;433
H;364
I;175
J;189
K;480
L;937
M;676
N;569
O;197
P;982
Q;31
R;494
S;1120
T;438
U;182
V;203
W;292
X;16
Y;60
Z;132
