letter;count
A;79
B;130
C;184
D;57
E;39
F;78
G;74
H;94
I;35
J;88
K;105
L;51
M;152
N;87
O;48
P;143
Q;10
R;58
S;271
T;85
U;19
V;49
W;103
X;1
Y;8
Z;16
