letter;count
A;33
B;41
C;75
D;21
E;13
F;29
G;43
H;38
I;14
J;7
K;41
L;26
M;106
N;41
O;23
P;66
Q;3
R;40
S;91
T;39
U;9
V;28
W;30
X;3
Y;7
Z;6
