letter;count
A;528
B;989
C;1447
D;395
E;308
F;420
G;492
H;657
I;257
J;335
K;613
L;469
M;1134
N;489
O;273
P;1043
Q;26
R;440
S;2681
T;567
U;116
V;240
W;390
X;10
Y;106
Z;130
