letter;count
A;198
B;280
C;291
D;176
E;84
F;91
G;124
H;201
I;36
J;96
K;151
L;296
M;254
N;137
O;52
P;258
Q;12
R;148
S;368
T;173
U;34
V;97
W;109
X;0
Y;24
Z;45
