letter;count
A;6
B;11
C;9
D;2
E;8
F;3
G;17
H;17
I;9
J;1
K;12
L;2
M;39
N;7
O;3
P;8
Q;0
R;6
S;25
T;19
U;5
V;1
W;9
X;1
Y;0
Z;3
