letter;count
A;24
B;52
C;25
D;16
E;20
F;20
G;20
H;27
I;4
J;5
K;37
L;15
M;60
N;14
O;9
P;31
Q;7
R;26
S;47
T;17
U;2
V;6
W;17
X;3
Y;3
Z;4
