letter;count
A;15
B;7
C;38
D;20
E;7
F;14
G;16
H;16
I;2
J;3
K;20
L;3
M;49
N;9
O;7
P;15
Q;3
R;9
S;37
T;19
U;12
V;7
W;1
X;0
Y;1
Z;0
