letter;count
A;10
B;11
C;6
D;4
E;2
F;12
G;6
H;2
I;2
J;0
K;1
L;8
M;10
N;1
O;2
P;9
Q;0
R;3
S;17
T;4
U;1
V;2
W;12
X;0
Y;6
Z;1
