letter;count
A;11
B;2
C;7
D;13
E;3
F;8
G;13
H;6
I;1
J;1
K;2
L;3
M;21
N;9
O;1
P;0
Q;0
R;1
S;9
T;2
U;0
V;0
W;4
X;0
Y;2
Z;0
