letter;count
A;77
B;115
C;176
D;72
E;69
F;85
G;60
H;87
I;23
J;36
K;100
L;73
M;259
N;99
O;44
P;150
Q;9
R;61
S;273
T;127
U;19
V;37
W;62
X;1
Y;15
Z;13
