letter;count
A;48
B;41
C;83
D;14
E;30
F;15
G;40
H;31
I;30
J;10
K;42
L;21
M;115
N;38
O;20
P;44
Q;12
R;21
S;68
T;44
U;7
V;34
W;13
X;2
Y;1
Z;15
