letter;count
A;51
B;227
C;110
D;19
E;80
F;62
G;60
H;75
I;2
J;24
K;56
L;40
M;59
N;71
O;9
P;87
Q;1
R;68
S;90
T;68
U;4
V;21
W;36
X;0
Y;30
Z;20
