letter;count
A;27
B;36
C;38
D;22
E;5
F;13
G;16
H;18
I;9
J;10
K;14
L;19
M;46
N;20
O;6
P;46
Q;1
R;12
S;58
T;18
U;5
V;11
W;14
X;0
Y;4
Z;5
