letter;count
A;8
B;16
C;25
D;13
E;6
F;9
G;10
H;16
I;3
J;7
K;12
L;5
M;37
N;7
O;10
P;11
Q;0
R;12
S;28
T;17
U;3
V;4
W;8
X;0
Y;5
Z;1
