letter;count
A;5
B;7
C;10
D;3
E;4
F;9
G;8
H;7
I;2
J;2
K;3
L;3
M;14
N;6
O;0
P;3
Q;0
R;5
S;21
T;7
U;0
V;3
W;7
X;0
Y;0
Z;2
