letter;count
A;105
B;212
C;245
D;46
E;67
F;117
G;109
H;108
I;34
J;44
K;119
L;104
M;170
N;94
O;64
P;247
Q;14
R;119
S;307
T;163
U;24
V;35
W;56
X;4
Y;27
Z;14
