letter;count
A;9
B;36
C;16
D;12
E;16
F;14
G;4
H;11
I;3
J;7
K;13
L;9
M;13
N;8
O;5
P;9
Q;3
R;12
S;15
T;8
U;1
V;6
W;1
X;0
Y;1
Z;3
