letter;count
A;1
B;2
C;4
D;0
E;1
F;3
G;0
H;2
I;1
J;2
K;1
L;1
M;11
N;1
O;0
P;3
Q;0
R;0
S;2
T;6
U;2
V;0
W;1
X;0
Y;0
Z;0
