letter;count
A;118
B;171
C;226
D;80
E;79
F;104
G;138
H;168
I;32
J;62
K;140
L;110
M;382
N;88
O;52
P;258
Q;11
R;121
S;396
T;114
U;13
V;47
W;132
X;2
Y;18
Z;23
