letter;count
A;18
B;27
C;41
D;19
E;21
F;9
G;13
H;19
I;12
J;4
K;17
L;7
M;51
N;18
O;8
P;34
Q;1
R;13
S;60
T;14
U;1
V;13
W;15
X;0
Y;2
Z;6
