letter;count
A;90
B;98
C;139
D;72
E;27
F;54
G;98
H;90
I;37
J;20
K;49
L;89
M;185
N;126
O;43
P;105
Q;7
R;49
S;222
T;97
U;25
V;49
W;36
X;7
Y;30
Z;6
