letter;count
A;32
B;43
C;59
D;29
E;19
F;22
G;16
H;28
I;14
J;8
K;16
L;20
M;69
N;28
O;10
P;36
Q;0
R;19
S;80
T;29
U;19
V;20
W;27
X;0
Y;11
Z;5
