letter;count
A;30
B;61
C;56
D;13
E;9
F;16
G;24
H;29
I;9
J;13
K;30
L;35
M;65
N;21
O;10
P;89
Q;2
R;26
S;45
T;17
U;3
V;10
W;23
X;0
Y;3
Z;3
