letter;count
A;36
B;65
C;119
D;32
E;26
F;24
G;44
H;47
I;13
J;13
K;45
L;21
M;119
N;38
O;18
P;58
Q;3
R;32
S;122
T;39
U;6
V;22
W;32
X;0
Y;5
Z;5
