letter;count
A;159
B;220
C;303
D;130
E;79
F;96
G;181
H;159
I;34
J;72
K;153
L;145
M;372
N;165
O;140
P;317
Q;15
R;162
S;503
T;166
U;51
V;93
W;141
X;2
Y;39
Z;37
