letter;count
A;61
B;73
C;104
D;37
E;26
F;57
G;55
H;68
I;35
J;24
K;74
L;42
M;194
N;70
O;48
P;79
Q;1
R;63
S;123
T;79
U;25
V;25
W;37
X;0
Y;9
Z;19
