letter;count
A;1
B;0
C;5
D;2
E;1
F;1
G;0
H;2
I;2
J;1
K;10
L;0
M;8
N;2
O;1
P;2
Q;0
R;0
S;1
T;1
U;0
V;0
W;1
X;0
Y;0
Z;0
