letter;count
A;2
B;8
C;3
D;2
E;6
F;12
G;3
H;3
I;2
J;0
K;2
L;0
M;5
N;2
O;7
P;2
Q;0
R;2
S;5
T;5
U;1
V;1
W;0
X;0
Y;0
Z;1
