letter;count
A;269
B;189
C;287
D;71
E;85
F;109
G;94
H;162
I;65
J;82
K;159
L;71
M;527
N;155
O;83
P;158
Q;16
R;85
S;475
T;131
U;21
V;60
W;132
X;4
Y;33
Z;27
