letter;count
A;10
B;21
C;25
D;4
E;11
F;12
G;17
H;9
I;3
J;20
K;11
L;4
M;26
N;11
O;9
P;20
Q;1
R;15
S;38
T;15
U;3
V;10
W;9
X;0
Y;2
Z;7
