letter;count
A;13
B;28
C;31
D;7
E;10
F;12
G;8
H;5
I;4
J;4
K;9
L;6
M;26
N;5
O;3
P;13
Q;1
R;8
S;51
T;16
U;2
V;5
W;11
X;0
Y;0
Z;0
