letter;count
A;9
B;17
C;22
D;6
E;4
F;8
G;7
H;9
I;3
J;4
K;9
L;7
M;32
N;10
O;11
P;23
Q;1
R;4
S;33
T;13
U;3
V;6
W;5
X;0
Y;3
Z;0
