letter;count
A;31
B;36
C;64
D;21
E;16
F;16
G;18
H;23
I;6
J;14
K;14
L;28
M;48
N;13
O;15
P;65
Q;2
R;22
S;43
T;21
U;5
V;7
W;14
X;1
Y;8
Z;4
