letter;count
A;51
B;52
C;74
D;36
E;46
F;58
G;42
H;55
I;30
J;29
K;51
L;25
M;104
N;40
O;20
P;73
Q;4
R;32
S;105
T;79
U;9
V;27
W;37
X;1
Y;10
Z;7
