letter;count
A;63
B;81
C;163
D;38
E;43
F;48
G;53
H;59
I;16
J;20
K;61
L;41
M;122
N;44
O;33
P;110
Q;7
R;52
S;154
T;101
U;20
V;30
W;36
X;0
Y;10
Z;8
