letter;count
A;190
B;325
C;516
D;198
E;104
F;168
G;196
H;236
I;86
J;102
K;192
L;185
M;461
N;205
O;136
P;619
Q;13
R;150
S;591
T;314
U;49
V;101
W;164
X;3
Y;47
Z;42
