letter;count
A;34
B;54
C;95
D;24
E;25
F;30
G;46
H;55
I;11
J;11
K;36
L;41
M;94
N;38
O;21
P;91
Q;3
R;34
S;99
T;54
U;8
V;24
W;39
X;0
Y;22
Z;9
