letter;count
A;505
B;1215
C;1351
D;593
E;329
F;598
G;492
H;665
I;279
J;131
K;766
L;1443
M;1091
N;779
O;310
P;2416
Q;76
R;760
S;1849
T;773
U;163
V;447
W;591
X;31
Y;164
Z;144
