letter;count
A;215
B;331
C;453
D;125
E;86
F;196
G;137
H;190
I;96
J;63
K;175
L;156
M;436
N;171
O;97
P;352
Q;16
R;155
S;492
T;193
U;37
V;83
W;145
X;4
Y;35
Z;36
