letter;count
A;105
B;165
C;186
D;86
E;68
F;57
G;104
H;92
I;14
J;32
K;143
L;176
M;211
N;105
O;49
P;211
Q;9
R;125
S;232
T;112
U;16
V;72
W;124
X;0
Y;12
Z;34
