letter;count
A;30
B;55
C;119
D;31
E;29
F;22
G;28
H;51
I;19
J;18
K;41
L;44
M;78
N;34
O;27
P;79
Q;2
R;36
S;136
T;41
U;10
V;21
W;30
X;2
Y;4
Z;3
