letter;count
A;15
B;40
C;26
D;16
E;20
F;20
G;14
H;21
I;2
J;5
K;23
L;6
M;86
N;32
O;7
P;34
Q;1
R;11
S;58
T;26
U;16
V;13
W;4
X;0
Y;3
Z;7
