letter;count
A;11
B;7
C;12
D;2
E;8
F;8
G;8
H;11
I;4
J;1
K;4
L;6
M;23
N;3
O;1
P;10
Q;0
R;7
S;25
T;8
U;0
V;3
W;5
X;1
Y;0
Z;1
