letter;count
A;36
B;77
C;73
D;17
E;27
F;20
G;18
H;49
I;3
J;40
K;18
L;44
M;48
N;29
O;14
P;69
Q;10
R;19
S;65
T;26
U;8
V;1
W;37
X;0
Y;10
Z;11
