letter;count
A;37
B;49
C;42
D;38
E;49
F;25
G;21
H;49
I;11
J;17
K;40
L;34
M;121
N;24
O;28
P;40
Q;3
R;28
S;81
T;67
U;9
V;11
W;20
X;0
Y;12
Z;7
