letter;count
A;514
B;782
C;1421
D;492
E;514
F;466
G;493
H;639
I;198
J;252
K;618
L;492
M;1462
N;600
O;389
P;1038
Q;26
R;486
S;2328
T;691
U;141
V;355
W;458
X;11
Y;67
Z;56
