letter;count
A;193
B;488
C;414
D;254
E;207
F;177
G;243
H;228
I;77
J;74
K;238
L;185
M;487
N;239
O;118
P;301
Q;13
R;277
S;597
T;297
U;51
V;101
W;200
X;4
Y;39
Z;43
