letter;count
A;11
B;15
C;25
D;5
E;10
F;6
G;7
H;19
I;3
J;2
K;10
L;7
M;32
N;19
O;2
P;17
Q;1
R;12
S;24
T;10
U;9
V;4
W;6
X;0
Y;3
Z;0
