letter;count
A;110
B;113
C;191
D;64
E;46
F;217
G;58
H;97
I;90
J;32
K;118
L;107
M;324
N;134
O;50
P;170
Q;14
R;117
S;212
T;90
U;38
V;34
W;64
X;2
Y;28
Z;7
