letter;count
A;44
B;94
C;118
D;67
E;38
F;48
G;36
H;44
I;18
J;18
K;44
L;55
M;122
N;49
O;30
P;112
Q;7
R;39
S;147
T;80
U;14
V;19
W;43
X;3
Y;18
Z;17
