letter;count
A;50
B;68
C;90
D;35
E;19
F;36
G;39
H;41
I;11
J;16
K;49
L;43
M;82
N;47
O;18
P;77
Q;5
R;50
S;131
T;43
U;6
V;18
W;30
X;0
Y;3
Z;28
