letter;count
A;81
B;80
C;82
D;54
E;25
F;21
G;46
H;68
I;22
J;40
K;59
L;54
M;114
N;57
O;30
P;144
Q;6
R;51
S;123
T;74
U;23
V;28
W;60
X;1
Y;6
Z;13
