letter;count
A;10
B;9
C;12
D;5
E;4
F;6
G;7
H;11
I;1
J;2
K;7
L;6
M;21
N;5
O;4
P;9
Q;0
R;5
S;16
T;14
U;1
V;1
W;2
X;0
Y;1
Z;0
