letter;count
A;6
B;4
C;3
D;2
E;4
F;3
G;1
H;7
I;0
J;3
K;11
L;7
M;22
N;7
O;4
P;3
Q;1
R;0
S;21
T;11
U;2
V;1
W;3
X;0
Y;3
Z;0
